ru;en;it
Войти;Log in;Accedere
Для отображения перечня задач необходимо авторизоваться в системе;Log in the system to see the list of tasks;Accedere al sistema per vedere la lista di compiti
Принять;Accept ;Accettare
ТС;Vehicle;Veicolo
Выполните разгрузку ТС;Unload the vehicle;Eseguire lo scarico del veicolo
Тип упаковки;Packing type;Tipo di imballo
Количество ;Quantity;Quantità
Вес;Weight;Peso 
Общий вес;Total weight;Peso totale
ДОК;Dock;Dock
Штучное грузовое место;Single cargo item;Collo singolo
Паллетизированное грузовое место;Pallet load;Collo-pallet
кг;kg;Kg
Далее;Next;Avanti
Назад;Back;Indietro
Проверьте номер транспортного средства;Check the vehicle number;Controllare il numero di targa del veicolo
Номер транспортного средства;Vehicle number;Numero di targa del veicolo
Номер ТС не читается;Vehicle number cannot be read;Il numero di targa del veicolo non si legge
ТС отсутствует в доке;The vehicle is not in the dock;Il veicolo non è in dock
Оцените состояние и положение грузовых мест внутри ТС;Assess the condition and position of the cargo items inside the vehicle;Valutare la condizione e la posizione dei colli all'interno del veicolo
Для перемещения грузовых мест воспользуйтесь дополнительным ресурсом;Use additional resource to move the cargo items;Usare le risorse aggiuntive per spostare colli
Дополнительный ресурс;Additional resource;Risorse aggiuntive
Место хранения;Storage location;Luogo di deposito
Тележка;Trolley;Carrello
Склад;Warehouse;Magazzino
Разместите груз на временном месте хранения;Place the cargo in a temporary storage location;Posizionare il carico nel luogo di deposito temporaneo
Распечатайте штрих-код грузового места;Print the bar code of the cargo item;Stampare il codice a barre del collo
Подтвердите размещение;Confirm placement;Confermare il posizionamento
Отсканируйте ID грузового места;Scan the cargo ID;Scansionare ID del collo
Отсканируйте ID места хранения;Scan the storage location ID;Scansionare ID del luogo di deposito
Все грузовые места выгружены из ТС и размещены на местах временного хранения;All cargo items are unloaded from the vehicle and placed at their temporary storage locations;Tutti i colli sono stati scaricati dal veicolo e posizionati nei luoghi di deposito
Введите количество поступивших грузовых мест;Enter the number of received cargo items ;Immettere il numero di colli ricevuti
Верните дополнительный ресурс на место хранения;Return the additional resource back to the storage location;Far tornare le risorse aggiuntive al luogo di deposito
Уточните у водителя ТС наличие документов на грузовые места;Find out from the vehicle driver if there are any cargo documents;Chiedere all'autista del veicolo se ci sono i documenti per i colli
Документы от водителя получены;The driver provided the documents;L'autista ha fornito i documenti
Прикрепите документы к грузовому месту;Attach the documents to the cargo item;Attaccare i documenti al collo
Отправка …;Sending…;Invio
Задачи выполнены!;Tasks are complete!;I compiti sono stati completati!
Готово;Done;Fatto
Выход;Exit;Uscita
Введите несоответствие;Describe the non-compliance;Inserire la non conformità
Закрыть;Close;Chiuedere
Обновить;Update;Aggiornare
Не найдено ни одного медиа-трека указанного типа, удовлетворяющего заданным ограничениям;No media track of the specified type meeting the specified limitations was found;Non è stato trovato nessun media track del tipo indicato che soddisfa i requisiti specificati
Наведите камеру на QR Code;Point the camera at the QR Code;Puntare la telecamera sul codice QR
Номер ТС не соответствует;Invalid vehicle number;Il numero di targa del veicolo non è conforme
Номер ТС не соответствует указанному в задаче;Vehicle number does not correspond to the one specified in the task;Il numero di targa del veicolo non è conforme a quello indicato nel compito
Не соответствует;Non-compliance;Non conforme
Отрицательный результат визуального осмотра положения и состояния грузовых мест в ТС;Non-satisfactory result of visual inspection of the position and condition of cargo items in the vehicle;Esito negativo del controllo visivo della posizione e della condizione dei colli nel veicolo
